session_id,t_mid_s,label,label_idx
20260315_150630_experimental_jo,1.085,idle,11
20260315_150630_experimental_jo,1.59,idle,11
20260315_150630_experimental_jo,1.93,idle,11
20260315_150630_experimental_jo,2.255,idle,11
20260315_150630_experimental_jo,2.645,idle,11
20260315_150630_experimental_jo,3.035,idle,11
20260315_150630_experimental_jo,3.74,idle,11
20260315_150630_experimental_jo,4.43,idle,11
20260315_150630_experimental_jo,4.775,idle,11
20260315_150630_experimental_jo,5.225,idle,11
20260315_150630_experimental_jo,5.735,idle,11
20260315_150630_experimental_jo,6.12,idle,11
20260315_150630_experimental_jo,6.715,idle,11
20260315_150630_experimental_jo,7.425,idle,11
20260315_150630_experimental_jo,7.87,idle,11
20260315_150630_experimental_jo,8.18,idle,11
20260315_150630_experimental_jo,8.59,idle,11
20260315_150630_experimental_jo,9.035,idle,11
20260315_150630_experimental_jo,9.745,idle,11
20260315_150630_experimental_jo,10.64,idle,11
20260315_150630_experimental_jo,11.135,idle,11
20260315_150630_experimental_jo,11.665,idle,11
20260315_150630_experimental_jo,12.415,idle,11
20260315_150630_experimental_jo,13.165,idle,11
20260315_150630_experimental_jo,13.955,idle,11
20260315_150630_experimental_jo,14.69,overhand_right,4
20260315_150630_experimental_jo,15.385,clockwise,9
20260315_150630_experimental_jo,16.16,sneak_underhand_left,5
20260315_150630_experimental_jo,16.9,overhand_left,3
20260315_150630_experimental_jo,17.57,counter_clockwise,10
20260315_150630_experimental_jo,18.23,overhand_right,4
20260315_150630_experimental_jo,18.92,underhand_right,1
20260315_150630_experimental_jo,19.635,overhand_left,3
20260315_150630_experimental_jo,20.32,counter_clockwise,10
20260315_150630_experimental_jo,20.985,overhand_right,4
20260315_150630_experimental_jo,21.67,clockwise,9
20260315_150630_experimental_jo,22.41,dragon_roll,0
20260315_150630_experimental_jo,23.155,dragon_roll,0
20260315_150630_experimental_jo,23.89,dragon_roll,0
20260315_150630_experimental_jo,24.67,dragon_roll,0
20260315_150630_experimental_jo,25.445,dragon_roll,0
20260315_150630_experimental_jo,26.19,dragon_roll,0
20260315_150630_experimental_jo,26.97,underhand_right,1
20260315_150630_experimental_jo,27.715,counter_clockwise,10
20260315_150630_experimental_jo,28.41,underhand_left,2
20260315_150630_experimental_jo,29.105,clockwise,9
20260315_150630_experimental_jo,29.79,underhand_right,1
20260315_150630_experimental_jo,30.45,counter_clockwise,10
20260315_150630_experimental_jo,31.09,underhand_left,2
20260315_150630_experimental_jo,31.73,clockwise,9
20260315_150630_experimental_jo,32.405,underhand_right,1
20260315_150630_experimental_jo,33.075,counter_clockwise,10
20260315_150630_experimental_jo,33.755,underhand_left,2
20260315_150630_experimental_jo,34.525,dragon_roll,0
20260315_150630_experimental_jo,35.345,dragon_roll,0
20260315_150630_experimental_jo,36.185,dragon_roll,0
20260315_150630_experimental_jo,37.075,dragon_roll,0
20260315_150630_experimental_jo,37.955,dragon_roll,0
20260315_150630_experimental_jo,38.785,dragon_roll,0
20260315_150630_experimental_jo,39.615,overhand_right,4
20260315_150630_experimental_jo,41.235,overhand_right,4
20260315_150630_experimental_jo,41.94,underhand_right,1
20260315_150630_experimental_jo,42.565,overhand_left,3
20260315_150630_experimental_jo,43.19,counter_clockwise,10
20260315_150630_experimental_jo,43.72,overhand_right,4
20260315_150630_experimental_jo,44.32,underhand_right,1
20260315_150630_experimental_jo,45.1,overhand_left,3
20260315_150630_experimental_jo,45.775,counter_clockwise,10
20260315_150630_experimental_jo,46.4,overhand_right,4
20260315_150630_experimental_jo,47.04,clockwise,9
20260315_150630_experimental_jo,47.72,underhand_right,1
20260315_150630_experimental_jo,48.385,counter_clockwise,10
20260315_150630_experimental_jo,48.98,underhand_left,2
20260315_150630_experimental_jo,49.6,clockwise,9
20260315_150630_experimental_jo,50.28,underhand_right,1
20260315_150630_experimental_jo,50.935,counter_clockwise,10
20260315_150630_experimental_jo,51.57,underhand_left,2
20260315_150630_experimental_jo,52.21,clockwise,9
20260315_150630_experimental_jo,52.87,underhand_right,1
20260315_150630_experimental_jo,53.535,counter_clockwise,10
20260315_150630_experimental_jo,54.23,underhand_left,2
20260315_150630_experimental_jo,54.92,dragon_roll,0
20260315_150630_experimental_jo,55.62,sneak_underhand_right,6
20260315_150630_experimental_jo,56.34,dragon_roll,0
20260315_150630_experimental_jo,57.035,sneak_underhand_left,5
20260315_150630_experimental_jo,57.755,dragon_roll,0
20260315_150630_experimental_jo,58.475,sneak_underhand_right,6
20260315_150630_experimental_jo,59.2,dragon_roll,0
20260315_150630_experimental_jo,59.935,sneak_underhand_left,5
20260315_150630_experimental_jo,60.655,counter_clockwise,10
20260315_150630_experimental_jo,61.205,counter_clockwise,10
20260315_150630_experimental_jo,61.565,overhand_right,4
20260315_150630_experimental_jo,62.08,underhand_right,1
20260315_150630_experimental_jo,62.7,overhand_left,3
20260315_150630_experimental_jo,63.29,counter_clockwise,10
20260315_150630_experimental_jo,63.79,overhand_right,4
20260315_150630_experimental_jo,64.385,underhand_right,1
20260315_150630_experimental_jo,65.145,overhand_left,3
20260315_150630_experimental_jo,65.805,counter_clockwise,10
20260315_150630_experimental_jo,66.425,overhand_right,4
20260315_150630_experimental_jo,67.03,clockwise,9
20260315_150630_experimental_jo,67.655,underhand_right,1
20260315_150630_experimental_jo,68.265,counter_clockwise,10
20260315_150630_experimental_jo,68.84,underhand_left,2
20260315_150630_experimental_jo,69.425,clockwise,9
20260315_150630_experimental_jo,70.035,underhand_right,1
20260315_150630_experimental_jo,70.63,counter_clockwise,10
20260315_150630_experimental_jo,71.2,underhand_left,2
20260315_150630_experimental_jo,71.81,clockwise,9
20260315_150630_experimental_jo,72.445,underhand_right,1
20260315_150630_experimental_jo,73.055,counter_clockwise,10
20260315_150630_experimental_jo,73.675,counter_clockwise,10
20260315_150630_experimental_jo,74.87,clockwise,9
20260315_150630_experimental_jo,75.62,clockwise,9
20260315_150630_experimental_jo,76.2,overhand_left,3
20260315_150630_experimental_jo,76.86,counter_clockwise,10
20260315_150630_experimental_jo,77.64,counter_clockwise,10
20260315_150630_experimental_jo,78.39,overhand_right,4
20260315_150630_experimental_jo,78.93,clockwise,9
20260315_150630_experimental_jo,79.66,underhand_right,1
20260315_150630_experimental_jo,80.3,overhand_left,3
20260315_150630_experimental_jo,80.95,counter_clockwise,10
20260315_150630_experimental_jo,81.645,counter_clockwise,10
20260315_150630_experimental_jo,82.195,overhand_right,4
20260315_150630_experimental_jo,82.83,underhand_right,1
20260315_150630_experimental_jo,83.53,overhand_left,3
20260315_150630_experimental_jo,84.1,counter_clockwise,10
20260315_150630_experimental_jo,84.595,overhand_right,4
20260315_150630_experimental_jo,85.19,clockwise,9
20260315_150630_experimental_jo,85.915,underhand_right,1
20260315_150630_experimental_jo,86.525,counter_clockwise,10
20260315_150630_experimental_jo,87.05,underhand_left,2
20260315_150630_experimental_jo,87.615,clockwise,9
20260315_150630_experimental_jo,88.25,underhand_right,1
20260315_150630_experimental_jo,88.835,counter_clockwise,10
20260315_150630_experimental_jo,89.365,underhand_left,2
20260315_150630_experimental_jo,89.955,clockwise,9
20260315_150630_experimental_jo,90.595,underhand_right,1
20260315_150630_experimental_jo,91.18,counter_clockwise,10
20260315_150630_experimental_jo,91.76,underhand_left,2
20260315_150630_experimental_jo,92.395,dragon_roll,0
20260315_150630_experimental_jo,93.08,sneak_underhand_right,6
20260315_150630_experimental_jo,93.77,clockwise,9
20260315_150630_experimental_jo,94.405,underhand_right,1
20260315_150630_experimental_jo,95.08,dragon_roll,0
20260315_150630_experimental_jo,95.8,sneak_underhand_left,5
20260315_150630_experimental_jo,96.495,clockwise,9
20260315_150630_experimental_jo,97.195,counter_clockwise,10
20260315_150630_experimental_jo,97.915,underhand_left,2
20260315_150630_experimental_jo,98.595,clockwise,9
20260315_150630_experimental_jo,99.23,underhand_right,1
20260315_150630_experimental_jo,99.83,counter_clockwise,10
20260315_150630_experimental_jo,100.425,counter_clockwise,10
20260315_150630_experimental_jo,101.015,overhand_right,4
20260315_150630_experimental_jo,101.615,underhand_right,1
20260315_150630_experimental_jo,102.235,overhand_left,3
20260315_150630_experimental_jo,102.845,counter_clockwise,10
20260315_150630_experimental_jo,103.355,overhand_right,4
20260315_150630_experimental_jo,103.955,underhand_right,1
20260315_150630_experimental_jo,104.645,overhand_left,3
20260315_150630_experimental_jo,105.205,counter_clockwise,10
20260315_150630_experimental_jo,105.735,overhand_right,4
20260315_150630_experimental_jo,106.365,clockwise,9
20260315_150630_experimental_jo,106.95,overhand_left,3
20260315_150630_experimental_jo,107.715,idle,11
20260315_150630_experimental_jo,108.25,overhand_right,4
20260315_150630_experimental_jo,108.87,underhand_right,1
20260315_150630_experimental_jo,109.565,overhand_left,3
20260315_150630_experimental_jo,110.175,counter_clockwise,10
20260315_150630_experimental_jo,110.735,overhand_right,4
20260315_150630_experimental_jo,111.325,underhand_right,1
20260315_150630_experimental_jo,111.98,overhand_left,3
20260315_150630_experimental_jo,112.625,counter_clockwise,10
20260315_150630_experimental_jo,113.23,overhand_right,4
20260315_150630_experimental_jo,113.86,clockwise,9
20260315_150630_experimental_jo,114.545,underhand_right,1
20260315_150630_experimental_jo,115.18,counter_clockwise,10
20260315_150630_experimental_jo,115.755,underhand_left,2
20260315_150630_experimental_jo,116.385,clockwise,9
20260315_150630_experimental_jo,116.89,overhand_left,3
20260315_150630_experimental_jo,117.165,overhand_left,3
20260315_150630_experimental_jo,117.58,counter_clockwise,10
20260315_150630_experimental_jo,118.095,overhand_right,4
20260315_150630_experimental_jo,118.685,underhand_right,1
20260315_150630_experimental_jo,119.35,overhand_left,3
20260315_150630_experimental_jo,119.955,counter_clockwise,10
20260315_150630_experimental_jo,120.61,overhand_right,4
20260315_150630_experimental_jo,121.29,sneak_overhand_left,7
20260315_150630_experimental_jo,121.97,dragon_roll,0
20260315_150630_experimental_jo,122.655,overhand_right,4
20260315_150630_experimental_jo,123.315,underhand_right,1
20260315_150630_experimental_jo,123.97,overhand_left,3
20260315_150630_experimental_jo,124.59,counter_clockwise,10
20260315_150630_experimental_jo,125.19,overhand_right,4
20260315_150630_experimental_jo,125.85,sneak_overhand_left,7
20260315_150630_experimental_jo,126.58,dragon_roll,0
20260315_150630_experimental_jo,127.285,overhand_right,4
20260315_150630_experimental_jo,127.925,underhand_right,1
20260315_150630_experimental_jo,128.545,overhand_left,3
20260315_150630_experimental_jo,129.205,counter_clockwise,10
20260315_150630_experimental_jo,129.835,overhand_right,4
20260315_150630_experimental_jo,130.45,sneak_overhand_left,7
20260315_150630_experimental_jo,131.16,dragon_roll,0
20260315_150630_experimental_jo,131.885,counter_clockwise,10
20260315_150630_experimental_jo,132.585,counter_clockwise,10
20260315_150630_experimental_jo,133.14,counter_clockwise,10
20260315_150630_experimental_jo,133.485,overhand_right,4
20260315_150630_experimental_jo,133.99,clockwise,9
20260315_150630_experimental_jo,135.53,underhand_right,1
20260315_150630_experimental_jo,136.23,overhand_left,3
20260315_150630_experimental_jo,136.8,counter_clockwise,10
20260315_150630_experimental_jo,137.365,overhand_right,4
20260315_150630_experimental_jo,138.01,sneak_overhand_left,7
20260315_150630_experimental_jo,138.7,dragon_roll,0
20260315_150630_experimental_jo,139.36,counter_clockwise,10
20260315_150630_experimental_jo,139.895,overhand_right,4
20260315_150630_experimental_jo,140.55,underhand_right,1
20260315_150630_experimental_jo,141.29,overhand_left,3
20260315_150630_experimental_jo,141.87,counter_clockwise,10
20260315_150630_experimental_jo,142.425,overhand_right,4
20260315_150630_experimental_jo,143.045,sneak_overhand_left,7
20260315_150630_experimental_jo,143.715,dragon_roll,0
20260315_150630_experimental_jo,144.355,counter_clockwise,10
20260315_150630_experimental_jo,145.06,counter_clockwise,10
