variant,window,center_jitter,peak_recenter,mode,train_accuracy,test_accuracy,macro_f1,gap
rf_window-sweep,48,0,False,single_window,1.0,0.8314393939393939,0.8504754094233182,0.16856060606060608
rf_window-sweep,48,2,False,single_window,1.0,0.8276515151515151,0.8426562692956784,0.17234848484848486
rf_window-sweep,48,-2,False,single_window,1.0,0.8314393939393939,0.841003355259363,0.16856060606060608
rf_window-sweep,64,2,False,single_window,1.0,0.821969696969697,0.8394470992468142,0.17803030303030298
rf_window-sweep,32,2,False,single_window,1.0,0.8238636363636364,0.8382017998292849,0.17613636363636365
rf_baseline,32,0,False,single_window,1.0,0.821969696969697,0.836680256365566,0.17803030303030298
rf_window-sweep,32,0,False,single_window,1.0,0.821969696969697,0.836680256365566,0.17803030303030298
rf_window-sweep,32,-2,False,single_window,1.0,0.8181818181818182,0.8358343990075978,0.18181818181818177
rf_window-sweep,64,-2,False,single_window,1.0,0.8238636363636364,0.8349167964331392,0.17613636363636365
rf_window-sweep,64,0,False,single_window,1.0,0.8200757575757576,0.831952849900189,0.17992424242424243
